Date,Open,High,Low,Close,Adj Close,Volume
2015-01-15,30.310200,30.509399,30.004101,30.331499,22.464350,3115481
2015-01-18,30.424000,30.466700,30.053900,30.231899,22.390585,2713984
2015-01-19,30.089500,30.295900,30.004101,30.295900,22.437986,2817099
2015-01-20,30.488100,30.936399,30.295900,30.936399,22.912355,3838067
2015-01-21,31.185499,31.185499,30.843901,31.028900,22.980867,2234125
2015-01-22,31.171301,31.171301,30.616199,30.708700,22.743715,3427325
2015-01-26,30.957800,31.142799,30.708700,31.093000,23.028339,2856775
2015-01-27,31.100100,31.135700,30.680201,30.922199,22.901838,4132685
2015-01-28,30.815399,31.135700,30.708700,31.100100,23.033596,3260911
2015-01-29,31.299400,31.313601,31.014700,31.021799,22.975603,6733396
2015-02-01,30.957800,31.512899,30.957800,31.299400,23.181206,2573737
2015-02-02,31.463100,31.512899,31.135700,31.434601,23.281338,2639742
2015-02-03,31.790400,31.811800,31.548500,31.690800,23.471087,2944370
2015-02-04,31.932800,32.075100,31.697901,31.818899,23.565958,2799193
2015-02-05,32.167599,32.167599,31.683701,31.861601,23.597586,2247607
2015-02-08,31.840200,31.996799,31.427500,31.633900,23.428944,2473339
2015-02-09,31.669399,31.712099,31.164200,31.434601,23.281338,3073855
2015-02-10,31.676600,31.769100,31.206900,31.448799,23.291853,1761665
2015-02-11,31.441700,31.512899,31.100100,31.192600,23.102106,3138588
2015-02-12,31.520000,31.918501,31.377701,31.790400,23.544853,3461738
2015-02-15,31.783300,31.925600,31.527100,31.847401,23.587072,1511662
2015-02-16,31.882900,32.203201,31.847401,32.203201,23.850584,2218261
2015-02-17,32.452301,32.658699,32.281502,32.658699,24.187939,3771659
2015-02-18,32.701401,32.808102,31.772600,32.153400,23.813702,4142583
2015-02-19,32.096500,33.164001,32.075100,33.014500,24.451454,4293168
2015-02-22,33.035900,33.412998,32.736900,33.242199,24.620094,3316670
2015-02-23,32.388199,32.644402,32.196098,32.352600,24.620401,8448439
2015-02-24,32.374001,32.701401,32.245899,32.452301,24.696272,2719092
2015-02-25,32.523399,32.594601,32.153400,32.338402,24.609596,2442627
2015-02-26,32.338402,32.338402,31.206900,31.206900,23.748520,8313887
2015-03-01,31.185499,31.192600,30.687300,30.815399,23.450586,4630192
2015-03-02,30.957800,31.270901,30.915100,31.071600,23.645559,3941904
